station;station_old;Zone;Site;Latitude;Longitude;Bottom depth (m);Buoy depth (m);Receiver ID;Date in;Date out;Detections;Status;Observations
M11;M13;Medes-Montgrí-Ter;Medes;42,04945;3,22655;;5;125488;2020-06-25;2021-03-28;76110;downloaded;Estava la boia enfonsada i el receptor al fons, a 45 metres, és possible que no hagués tingut una bona recepció.  
M11;M13;Medes-Montgrí-Ter;Medes;42,04945;3,22655;;5;108868;2021-03-28;2021-08-31;83094;downloaded;
M11;M13;Medes-Montgrí-Ter;Medes;42,04945;3,22655;;5;136752;2021-08-31;;;active;
M12;M12;Medes-Montgrí-Ter;Medes;42,04732;3,22747;;5;108868;2020-06-23;2021-03-28;88800;downloaded;
M12;M12;Medes-Montgrí-Ter;Medes;42,04732;3,22747;;5;105283;2021-03-28;2021-08-31;102220;downloaded;Traiem la boia, es queda sense receptor
M12;M12;Medes-Montgrí-Ter;Medes;42,04732;3,22747;;5;;;;;active;
M13;M11;Medes-Montgrí-Ter;Medes;42,04530;3,22537;28;bottom;128603;2020-06-23;2021-03-10;14848;downloaded;
M13;M11;Medes-Montgrí-Ter;Medes;42,04530;3,22537;28;bottom;136741;2021-03-10;2021-09-06;9514;downloaded;
M13;M11;Medes-Montgrí-Ter;Medes;42,04530;3,22537;28;bottom;136761;2021-09-06;;;active;
M14;M10;Medes-Montgrí-Ter;Medes;42,04367;3,22793;25;bottom;125466;2020-06-23;2021-03-10;65110;downloaded;
M14;M10;Medes-Montgrí-Ter;Medes;42,04367;3,22793;25;bottom;108862;2021-03-10;2021-09-06;37889;downloaded;
M14;M10;Medes-Montgrí-Ter;Medes;42,04367;3,22793;25;bottom;136766;2021-09-06;;;active;
M15;M9;Medes-Montgrí-Ter;Medes;42,04273;3,22662;20;bottom;128606;2020-06-23;2021-03-10;46346;downloaded;
M15;M9;Medes-Montgrí-Ter;Medes;42,04273;3,22662;20;bottom;136765;2021-03-10;2021-08-31;26263;downloaded;
M15;M9;Medes-Montgrí-Ter;Medes;42,04273;3,22662;20;bottom;136764;2021-08-31;;;active;
M16;M8;Medes-Montgrí-Ter;Medes;42,04190;3,22917;32;bottom;136762;2020-08-27;2021-03-10;21801;downloaded;
M16;M8;Medes-Montgrí-Ter;Medes;42,04190;3,22917;32;bottom;136753;2021-03-10;2021-08-31;23958;downloaded;
M16;M8;Medes-Montgrí-Ter;Medes;42,04190;3,22917;32;bottom;125469;2021-08-31;;;active;
M17;M7;Medes-Montgrí-Ter;Medes;42,04023;3,22787;30;bottom;110274;2020-06-23;2021-03-10;86703;downloaded;
