date,geartype,hours,lat,lon,vesselIDs
2015,trawlers,879.5911111111111,55.4,-5.1,52
2015,trawlers,7.281944444444446,56.1,-5.6,1
2015,trawlers,300.93027777777786,55.0,-5.3,10
2015,trawlers,18.821944444444444,55.1,-5.0,6
2015,trawlers,1318.8175,55.7,-4.9,20
2015,trawlers,458.4130555555555,55.8,-5.3,13
2015,trawlers,1492.4088888888896,55.7,-5.3,18
2015,set_gillnets,9.17388888888889,55.8,-4.9,1
2015,trawlers,1115.0908333333334,55.1,-5.1,26
2015,trawlers,541.7211111111111,55.6,-5.1,24
2015,trawlers,124.64249999999998,55.5,-4.7,20
2015,trawlers,1.583611111111111,56.1,-5.3,1
2015,trawlers,52.56916666666666,55.1,-5.5,4
2015,set_gillnets,32.123333333333335,55.8,-5.6,1
2015,trawlers,535.1758333333332,55.4,-4.8,40
2015,trawlers,1042.2880555555557,55.5,-4.8,44
2015,trawlers,464.5752777777778,55.3,-4.9,46
2015,other_purse_seines,1.5358333333333334,55.9,-5.3,1
2015,set_gillnets,134.0836111111111,55.2,-4.9,2
2015,set_gillnets,27.75694444444444,55.3,-4.9,2
2015,trawlers,12.87138888888889,55.3,-5.5,3
2015,trawlers,926.0622222222222,55.5,-4.9,42
2015,trawlers,790.6550000000002,55.6,-4.8,22
2015,set_gillnets,0.3169444444444444,55.1,-5.0,1
2015,trawlers,1.5683333333333334,55.8,-5.5,1
2015,trawlers,144.19611111111112,55.0,-5.5,5
2015,trawlers,153.63944444444445,56.0,-5.4,3
2015,trawlers,170.34333333333333,55.9,-5.4,6
2015,set_gillnets,4.869166666666667,55.7,-5.6,2
2015,trawlers,58.7475,55.5,-5.1,8
2015,set_gillnets,0.5422222222222222,55.8,-5.4,1
2015,fishing,3.5294444444444446,55.3,-5.5,3
2015,trawlers,664.4572222222224,55.5,-5.5,18
2015,trawlers,223.00805555555556,55.0,-5.1,8
2015,trawlers,1841.69,55.7,-5.4,17
2015,fishing,6.2508333333333335,55.9,-5.1,1
2015,dredge_fishing,1.1302777777777777,55.3,-5.1,1
2015,trawlers,1480.172222222222,55.7,-5.2,25
2015,trawlers,2.4155555555555557,55.4,-5.6,3
2015,dredge_fishing,1.1025,55.1,-5.1,2
2015,trawlers,10.111944444444445,55.0,-5.6,2
2015,set_gillnets,0.5272222222222223,55.3,-5.0,1
2015,set_gillnets,0.2594444444444444,55.3,-4.8,1
2015,trawlers,80.87666666666665,55.2,-4.9,10
2015,fishing,10.819444444444443,56.1,-4.9,1
2015,dredge_fishing,2.0225,55.0,-5.2,2
2015,trawlers,202.83083333333332,55.1,-5.4,6
2015,pots_and_traps,9.256944444444443,55.2,-5.0,2
2015,fishing,4.362500000000001,55.1,-5.1,2
2015,fishing,20.44388888888889,55.0,-5.1,3
2015,fishing,0.2336111111111111,55.8,-5.0,1
2015,trawlers,488.5952777777778,55.8,-5.0,8
2015,trawlers,768.5961111111111,55.0,-5.4,6
2015,set_gillnets,22.24361111111111,55.8,-5.5,2
2015,trawlers,2.611388888888889,55.9,-5.3,2
2015,trawlers,521.7008333333333,55.9,-4.9,4
2015,set_gillnets,2.17,55.2,-5.1,2
2015,set_gillnets,1.0275,55.1,-5.2,1
2015,fishing,18.147777777777776,55.2,-5.3,1
2015,fishing,1.0291666666666668,55.3,-5.6,1
2015,fishing,15.591111111111111,55.0,-5.2,4
2015,trawlers,0.26694444444444443,55.8,-5.6,1
2015,fishing,1.301111111111111,55.1,-5.3,1
2015,fishing,128.2697222222222,56.0,-4.9,1
2015,dredge_fishing,0.8172222222222222,55.1,-5.2,1
2015,trawlers,85.91444444444447,55.6,-4.7,10
2015,fishing,4.791388888888889,55.3,-4.9,1
2015,pots_and_traps,4.004166666666666,55.2,-4.9,3
2015,set_gillnets,15.450000000000001,55.7,-4.9,1
2015,trawlers,24.081111111111113,55.9,-5.0,4
