"station";"zone";"site";"Longitude";"Latitude";"x";"y";"rec_id";"date_in";"date_out"
"M03";"Medes-Montgrí-Ter";"Montgrí";3,21253;42,06905;517582,1918;4657464,663;136747;"17/06/2022";""
"M04";"Medes-Montgrí-Ter";"Montgrí";3,21497;42,0612;517786,2392;4656593,58;105286;"26/06/2020";"11/03/2021"
"M04";"Medes-Montgrí-Ter";"Montgrí";3,21497;42,0612;517786,2392;4656593,58;136762;"11/03/2021";"07/09/2021"
"M04";"Medes-Montgrí-Ter";"Montgrí";3,21497;42,0612;517786,2392;4656593,58;136747;"07/09/2021";"17/06/2022"
"M04";"Medes-Montgrí-Ter";"Montgrí";3,21497;42,0612;517786,2392;4656593,58;136761;"17/06/2022";""
"M05";"Medes-Montgrí-Ter";"Montgrí";3,214;42,058;517706,8721;4656238,082;128600;"25/06/2020";"12/03/2021"
"M05";"Medes-Montgrí-Ter";"Montgrí";3,214;42,058;517706,8721;4656238,082;108861;"12/03/2021";"07/09/2021"
"M05";"Medes-Montgrí-Ter";"Montgrí";3,214;42,058;517706,8721;4656238,082;125478;"07/09/2021";"17/06/2022"
"M05";"Medes-Montgrí-Ter";"Montgrí";3,214;42,058;517706,8721;4656238,082;136741;"17/06/2022";""
"M06";"Medes-Montgrí-Ter";"Montgrí";3,2148;42,05502;517773,8969;4655907,379;125480;"25/06/2020";"11/03/2021"
"M06";"Medes-Montgrí-Ter";"Montgrí";3,2148;42,05502;517773,8969;4655907,379;125469;"11/03/2021";"30/08/2021"
"M06";"Medes-Montgrí-Ter";"Montgrí";3,2148;42,05502;517773,8969;4655907,379;136769;"30/08/2021";"08/06/2022"
"M06";"Medes-Montgrí-Ter";"Montgrí";3,2148;42,05502;517773,8969;4655907,379;137375;"08/06/2022";""
"M07";"Medes-Montgrí-Ter";"Freu";3,21628;42,05202;517897,2037;4655574,598;108861;"25/06/2020";"11/03/2021"
"M07";"Medes-Montgrí-Ter";"Freu";3,21628;42,05202;517897,2037;4655574,598;128603;"11/03/2021";"30/08/2021"
"M07";"Medes-Montgrí-Ter";"Freu";3,21628;42,05202;517897,2037;4655574,598;136751;"30/08/2021";"31/05/2022"
"M07";"Medes-Montgrí-Ter";"Freu";3,21628;42,05202;517897,2037;4655574,598;136755;"31/05/2022";""
"M08";"Medes-Montgrí-Ter";"Medes";3,21892;42,05108;518115,9313;4655470,785;125469;"25/06/2020";"10/03/2021"
"M08";"Medes-Montgrí-Ter";"Medes";3,21892;42,05108;518115,9313;4655470,785;125472;"10/03/2021";"30/08/2021"
"M08";"Medes-Montgrí-Ter";"Medes";3,21892;42,05108;518115,9313;4655470,785;136740;"30/08/2021";""
"M09";"Medes-Montgrí-Ter";"Medes";3,22125;42,05298;518308,1964;4655682,238;125460;"25/06/2020";"11/03/2021"
"M09";"Medes-Montgrí-Ter";"Medes";3,22125;42,05298;518308,1964;4655682,238;125466;"11/03/2021";"31/08/2021"
"M09";"Medes-Montgrí-Ter";"Medes";3,22122;42,05295;518305,7226;4655678,901;125472;"31/08/2021";"31/05/2022"
"M09";"Medes-Montgrí-Ter";"Medes";3,22122;42,05295;518305,7226;4655678,901;108860;"31/05/2022";""
"M10";"Medes-Montgrí-Ter";"Medes";3,22497;42,05065;518616,7029;4655424,341;101506;"25/06/2020";"28/03/2021"
"M10";"Medes-Montgrí-Ter";"Medes";3,22497;42,05065;518616,7029;4655424,341;108860;"28/03/2021";"31/08/2021"
"M10";"Medes-Montgrí-Ter";"Medes";3,22497;42,05065;518616,7029;4655424,341;136755;"31/08/2021";"31/05/2022"
"M10";"Medes-Montgrí-Ter";"Medes";3,22497;42,05065;518616,7029;4655424,341;136764;"31/05/2022";""
"M11";"Medes-Montgrí-Ter";"Medes";3,22655;42,04945;518747,8039;4655291,45;125488;"25/06/2020";"28/03/2021"
"M11";"Medes-Montgrí-Ter";"Medes";3,22655;42,04945;518747,8039;4655291,45;108868;"28/03/2021";"31/08/2021"
"M11";"Medes-Montgrí-Ter";"Medes";3,22655;42,04945;518747,8039;4655291,45;136752;"31/08/2021";"31/05/2022"
"M11";"Medes-Montgrí-Ter";"Medes";3,22655;42,04945;518747,8039;4655291,45;136766;"31/05/2022";""
"M12";"Medes-Montgrí-Ter";"Medes";3,22747;42,04732;518824,566;4655055,159;108868;"23/06/2020";"28/03/2021"
"M12";"Medes-Montgrí-Ter";"Medes";3,22747;42,04732;518824,566;4655055,159;105283;"28/03/2021";"31/08/2021"
"M12";"Medes-Montgrí-Ter";"Medes";3,22747;42,04732;518824,566;4655055,159;108860;"31/08/2021";"31/05/2022"
"M12";"Medes-Montgrí-Ter";"Medes";3,22747;42,04732;518824,566;4655055,159;108868;"31/05/2022";""
"M13";"Medes-Montgrí-Ter";"Medes";3,22537;42,0453;518651,3686;4654830,419;128603;"23/06/2020";"10/03/2021"
"M13";"Medes-Montgrí-Ter";"Medes";3,22537;42,0453;518651,3686;4654830,419;136741;"10/03/2021";"06/09/2021"
