Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
Si,V9P,1356038,16266,,A69-9007-16266,323,Sphyraena viridensis,100,Medes,"4,204,386",,,"322,334",Cementiri,20200901,,20:10,20:19,"4,204,386","322,334",Canya,Vermell,86,Iscle i Miguel Angel,
Si,V9P,1356039,16267,,A69-9007-16267,323,Spondyliosoma cantharus,30,Medes,"4,204,158",,,"322,604",Carall,20200901,,18:25,18:45,"4,204,158","322,604",Canya,Vermell,90,Iscle i Miguel Angel,
Si,V9P,1356040,16268,,A69-9007-16268,323,Sphyraena viridensis,110,Medes,"4,204,386",,,"322,334",Cementiri,20200901,20201112,20:15,20:19,"4,204,386","322,334",Canya,Vermell,85,"Iscle i Miguel Angel. Recapturat per Joan Massagué el dia 12/11/2020 amb tresmall, a 100 m davant la bocana del port",
Si,V9P,1356040,16268,,A69-9007-16268,323,Sphyraena viridensis,75,Cap de Creus,"4,232,058",,,"333,211",N Massa d'Ors,20201114,,11:11,11:30,"4,232,058","333,211",Canya,vermell,28,Iscle. Tornat a marcar amb la mateixa  marca,
Si,V9P,1356041,16269,,A69-9007-16269,323,Sphyraena viridensis,77,Medes,"4,204,128",,,"322,646",Tascó,20200901,,08:35,08:45,"4,204,128","322,646",Canya,Vermell,97,Iscle i Miguel Angel,
Si,V9P,1356042,16270,,A69-9007-16270,323,Sphyraena viridensis,60,Medes,"4,204,158",,,"322,604",Carall,20200901,,08:35,08:45,"4,204,158","322,604",Canya,Vermell,84,Iscle i Miguel Angel,
Si,V9,1355971,40690,19000,A69-1602-40690,503,Dicentrarchus labrax,37,Badia de roses,4219956,42.19956,3.11529,311529,Desenbocadura Fluvià,20201103,,10:50,12:10,"4,219,956","311,529",Palangre,vermell,24,Marc Castells,
,V9P,1356044,16272,,A69-9007-16272,323,Spondyliosoma cantharus,25,Cap de Creus,"4,231,891",,,"333,127",Massa d'Or,20210530,,09:00,09:30,"4,231,891","333,127",canya,Vermell,149,Voluntaris jornada Ass. Pesca responsable,
Si,V9P,1356045,16273,,A69-9007-16273,323,Spondyliosoma cantharus,33,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,12:25,12:42,"4,204,510","322,210",Canya,Vermell,92,Iscle i Miguel Angel,
Si,V9P,1356046,16274,,A69-9007-16274,323,Sphyraena viridensis,70,Medes,"4,204,128",,,"322,646",Tascó,20200901,,08:20,08:30,"4,204,128","322,646",Canya,Vermell,98,Iscle i Miguel Angel,
Si,V13AP,1356047,16239,,A69-9007-16239,451,Dentex dentex,,Medes,"4,204,128",,,"322,646",Tascó,20200901,,07:30,08:17,"4,204,128","322,646",Canya,Vermell,100,Iscle i Miguel Angel,
Si,V13AP,1356047,16240,,A69-9007-16240,451,Dentex dentex,,Medes,"4,204,128",,,"322,646",Tascó,20200901,,07:30,08:17,"4,204,128","322,646",Canya,Vermell,100,Iscle i Miguel Angel,
Si,V13AP,1356048,16241,,A69-9007-16241,451,Dentex dentex,63,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,11:30,12:15,"4,204,510","322,210",Canya,Vermell,93,Iscle i Miguel Angel,
Si,V13AP,1356048,16242,,A69-9007-16242,451,Dentex dentex,63,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,11:30,12:15,"4,204,510","322,210",Canya,Vermell,93,Iscle i Miguel Angel,
Si,V13AP,1356049,16243,,A69-9007-16243,451,Dentex dentex,64,Medes,"4,204,510",,,"322,210",Cementiri,20200902,,20:45,20:55,"4,204,510","322,210",Canya,Vermell,78,Iscle i Miguel Angel,
Si,V13AP,1356049,16244,,A69-9007-16244,451,Dentex dentex,64,Medes,"4,204,510",,,"322,210",Cementiri,20200902,,20:45,20:55,"4,204,510","322,210",Canya,Vermell,78,Iscle i Miguel Angel,
Si,V13AP,1356050,16245,,A69-9007-16245,451,Dentex dentex,55,Medes,"4,204,524",,,"321,897",Embarcador,20200916,,21:00,21:54,"4,204,524","321,897",palangre amb mascarat,Vermell,63,Palangre Miquel,
Si,V13AP,1356050,16246,,A69-9007-16246,451,Dentex dentex,55,Medes,"4,204,524",,,"321,897",Embarcador,20200916,,21:00,21:54,"4,204,524","321,897",palangre amb mascarat,Vermell,63,Palangre Miquel,
Si,V13AP,1356051,16247,,A69-9007-16247,451,Dentex dentex,39,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,10:24,10:45,"4,204,510","322,210",Canya,Vermell,99,Iscle i Miguel Angel,
Si,V13AP,1356051,16248,,A69-9007-16248,451,Dentex dentex,39,Medes,"4,204,510",,,"322,210",Cementiri,20200901,,10:24,10:45,"4,204,510","322,210",Canya,Vermell,99,Iscle i Miguel Angel,
,V13P,1356052,16169,,A69-9007-16169,446,,,,,,,,,,,,,,,,,,,
,V13P,1356053,16170,,A69-9007-16170,446,,,,,,,,,,,,,,,,,,,
,V13P,1356054,16171,,A69-9007-16171,446,,,,,,,,,,,,,,,,,,,
,V13P,1356055,16172,,A69-9007-16172,446,,,,,,,,,,,,,,,,,,,
,V13P,1356056,16173,,A69-9007-16173,446,,,,,,,,,,,,,,,,,,,
,V13P,1356057,16174,,A69-9007-16174,446,,,,,,,,,,,,,,,,,,,
,V13P,1356058,16175,,A69-9007-16175,446,,,,,,,,,,,,,,,,,,,
,V13P,1356059,16176,,A69-9007-16176,446,,,,,,,,,,,,,,,,,,,
,V13P,1356060,16177,,A69-9007-16177,446,,,,,,,,,,,,,,,,,,,
,V13P,1356061,16178,,A69-9007-16178,446,,,,,,,,,,,,,,,,,,,
,V13P,1356062,16179,,A69-9007-16179,446,,,,,,,,,,,,,,,,,,,
,V13P,1356063,16180,,A69-9007-16180,446,,,,,,,,,,,,,,,,,,,
